2026-01-20T19:38:31.802288771Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:38:31.802357158Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:38:31.802429580Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:39:50.148001465Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:39:50.151258284Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:39:50.151325086Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T19:39:55.304229921Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:39:55.304310465Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:39:55.304463934Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:40:07.511237844Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:40:07.531683946Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:40:07.531778631Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 100 staked (raw: 100000000000), 0 pending (raw: 0)
2026-01-20T19:40:07.534354774Z [inf]  [Staking] Miner account GLcBpgbx... exists: true
2026-01-20T19:40:07.616073201Z [inf]  [Staking] Built stake tx for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 400 COAL
2026-01-20T19:40:14.478274713Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:40:14.478312017Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 500 staked (raw: 500000000000), 0 pending (raw: 0)
2026-01-20T19:40:14.478361702Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:40:14.504572753Z [inf]  [Staking] Verified stake: 2CmFma8mWE5x3i2FmLvUBCvyMZJRDAPMskM9yQo7H9rKygp4v6vkGnQBZVT7gjJBL27Q8fbcAZNyqgExCz2r7bg4 for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R
2026-01-20T19:41:50.685504730Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:41:50.685513136Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:41:50.686380417Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:42:04.469896907Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:42:04.472095780Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:42:04.472179600Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:42:19.947897880Z [inf]  [Staking] Raw miner data for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: {
2026-01-20T19:42:19.947993696Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:42:19.948069378Z [inf]  [Staking] Stake info for ALK6Zw3PYjNFhruJSa2guUBxmhKsezbNDprDRW98mJdE: 50000 staked (raw: 50000000000000), 0 pending (raw: 0)
2026-01-20T19:42:26.847848334Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:42:26.847951990Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:42:26.880978014Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 500 staked (raw: 500000000000), 0 pending (raw: 0)
2026-01-20T19:42:38.168459312Z [inf]  [Staking] Built unstake tx for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 300 COAL
2026-01-20T19:42:43.133252649Z [inf]  [Staking] Miner object keys: [
2026-01-20T19:42:43.133253406Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:42:43.133536386Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 200 staked (raw: 200000000000), 0 pending (raw: 0)
2026-01-20T19:42:53.125086213Z [inf]  [Staking] Raw miner data for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: {
2026-01-20T19:42:53.125102105Z [inf]  [Staking] Stake info for 9Y4Cje3zzWGjT6AjNDQaFKfsaWa2bT4LB8fT93PJwG9R: 200 staked (raw: 200000000000), 0 pending (raw: 0)
